qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,22154711,131,22154842
fc_a_001,ABD,300660,2,300662
fc_a_002,AD,296139,1,296140
fc_a_003,A,314033,1,314034
fc_a_004,ACD,219098,2,219100
fc_a_005,ABCD,461766,2,461768
fc_a_006,A,541551,1,541552
fc_a_007,BD,271289,1,271290
fc_a_008,B,289290,1,289291
fc_a_009,ABD,436951,2,436953
fc_a_010,A,334268,1,334269
fc_a_011,AB,271384,1,271385
fc_a_012,ACD,207714,2,207716
fc_a_013,A,450316,1,450317
fc_a_014,ABD,418981,2,418983
fc_a_015,B,284740,1,284741
fc_a_016,AB,560969,1,560970
fc_a_017,AD,635655,1,635656
fc_a_018,B,575186,1,575187
fc_a_019,AB,512319,1,512320
fc_a_020,AB,568808,1,568809
fin_a_001,AB,629940,1,629941
fin_a_002,AD,674491,1,674492
fin_a_003,A,569696,1,569697
fin_a_004,ABD,523830,2,523832
fin_a_005,ACD,617715,2,617717
fin_a_006,A,586654,1,586655
fin_a_007,ABD,666014,2,666016
fin_a_008,D,689129,1,689130
fin_a_009,AC,462083,1,462084
fin_a_010,A,566979,1,566980
fin_a_011,ACD,536017,2,536019
fin_a_012,ABD,411366,2,411368
fin_a_013,B,638372,1,638373
fin_a_014,AB,615297,1,615298
fin_a_015,A,470590,1,470591
fin_a_016,ABD,595247,2,595249
fin_a_017,AC,641010,1,641011
fin_a_018,A,572009,1,572010
fin_a_019,AB,603096,1,603097
fin_a_020,AB,447457,1,447458
ins_a_001,B,38032,1,38033
ins_a_002,A,32337,1,32338
ins_a_003,D,80279,1,80280
ins_a_004,A,102698,1,102699
ins_a_005,ABCD,50548,2,50550
ins_a_006,A,69740,1,69741
ins_a_007,BC,32165,1,32166
ins_a_008,ABC,71108,1,71109
ins_a_009,AC,42200,1,42201
ins_a_010,AB,58061,1,58062
ins_a_011,ABCD,107881,2,107883
ins_a_012,AD,52550,1,52551
ins_a_013,A,28971,1,28972
ins_a_014,ABD,93025,2,93027
ins_a_015,ABD,50549,2,50551
ins_a_016,CD,88560,1,88561
ins_a_017,ABCD,51455,2,51457
ins_a_018,ABCD,106055,2,106057
ins_a_019,ABCD,58041,2,58043
ins_a_020,D,76903,1,76904
reg_a_001,ACD,13666,2,13668
reg_a_002,ABC,12313,1,12314
reg_a_003,B,11900,1,11901
reg_a_004,ABC,12064,1,12065
reg_a_005,AC,16215,1,16216
reg_a_006,A,12326,1,12327
reg_a_007,ACD,14304,2,14306
reg_a_008,A,14042,1,14043
reg_a_009,ABD,13970,2,13972
reg_a_010,B,18113,1,18114
reg_a_011,ACD,24896,2,24898
reg_a_012,ABD,23849,2,23851
reg_a_013,A,16552,1,16553
reg_a_014,ABD,27348,2,27350
reg_a_015,C,13319,1,13320
reg_a_016,ABD,16730,2,16732
reg_a_017,AB,17166,1,17167
reg_a_018,A,18913,1,18914
reg_a_019,ABD,20692,2,20694
reg_a_020,ABD,22276,2,22278
res_a_001,AC,33540,1,33541
res_a_002,ABC,48983,1,48984
res_a_003,B,39760,1,39761
res_a_004,AB,50003,1,50004
res_a_005,AB,59053,1,59054
res_a_006,A,49116,1,49117
res_a_007,ABC,22492,1,22493
res_a_008,A,37938,1,37939
res_a_009,ABC,31950,1,31951
res_a_010,A,25542,1,25543
res_a_011,ABC,38137,1,38138
res_a_012,AB,38959,1,38960
res_a_013,B,50145,1,50146
res_a_014,ABC,66062,1,66063
res_a_015,A,63308,1,63309
res_a_016,ACD,63346,2,63348
res_a_017,ABD,49604,2,49606
res_a_018,A,99820,1,99821
res_a_019,AB,83239,1,83240
res_a_020,ABCD,103793,2,103795
