field_id,metric,unit,source_page,section_path,table_name,confidence,value_map,source_text
annual_cscec_2025_report_field_b44c3a5687,新签合同额,,6,董事长致辞,我谨代表,0.58,"{""2026"": ""4.55"", ""v1"": ""4.55"", ""v2"": ""2.08"", ""v3"": ""390.7"", ""v4"": ""20.8"", ""v5"": ""10.5"", ""v6"": ""4,331"", ""v7"": ""57%"", ""v8"": ""68%"", ""v9"": ""20%"", ""v10"": ""31"", ""v11"": ""37%"", ""v12"": ""28%"", ""v13"": ""6"", ""v14"": ""8"", ""v15"": ""6"", ""v16"": ""4"", ""v17"": ""250"", ""v18"": ""2026""}","险,企业保持稳健发展态势。全年新签合同额4.55万亿元,完成营业收入2.08万亿元,实现归属于上市；公司股东净利润390.7亿元,继续保持全球建筑行业最高信用评级。；期间累计实现合同额20.8万亿元、营业收入10.5万亿元、利润总额4,331亿元,同比“十三五”分别增长；57%、68%、20%。主责主业更加稳健,房建、基建利润占比同比提高了31个百分点,地产业务销售额；增长37%,海外营收增长28%、ENR国际承包商排名提升至第6位。转型升级加快推进,完成国企改革；三年行动和深化提升行动目标任务,推动8家企业战略性联动、6家企业战略性整合,获批建设4个国家；级科创平台,成功举办中国建筑科技展,城市更新、城市运营业务覆盖250多个城市。；2026年是“十五五”开局之年,建筑市场挑战和机遇并存。国家在城市更新、“好房子”建设、稳定"
annual_cscec_2025_report_field_3fe519f116,营业收入,,7,董事长致辞,我谨代表,0.58,"{""2026"": ""4.6"", ""2025"": ""2.1"", ""v1"": ""4.6"", ""v2"": ""2.1"", ""v3"": ""2026"", ""v4"": ""4"", ""v5"": ""17"", ""v6"": ""2025"", ""v7"": ""3""}","合同额4.6万亿元,营业收入2.1万亿元,继续创造更多更好的发展业绩,不辜负广大股东、投资者和社；会各界的关心和支持！；郑学选；董事长；中国•北京；2026 年4月17日；2025 年年度报告；3"
annual_cscec_2025_report_field_6e0718482c,新签合同额,,8,年报速览 > 连续入选,主要经营指标,0.58,"{""v1"": ""45,458"", ""v2"": ""20,821"", ""v3"": ""390.7"", ""v4"": ""1.0%"", ""v5"": ""4.8%"", ""v6"": ""15.4%""}","新签合同额；营业收入；归属上市公司股东净利润；45,458 亿元；20,821 亿元；390.7 亿元；同比增长1.0%；同比下降4.8%；同比下降15.4%"
annual_cscec_2025_report_field_9fc60fd468,经营活动产生的现金流量净额,,8,年报速览 > 连续入选,主要经营指标,0.58,"{""v1"": ""205.4"", ""v2"": ""8.15%"", ""v3"": ""11.68"", ""v4"": ""6"", ""v5"": ""2.21"", ""v6"": ""7.2%""}",经营活动产生的现金流量净额；加权平均净资产收益率；归属普通股股东的每股净资产；205.4 亿元；8.15%；11.68 元／股；连续6 年保持正向流入；减少2.21 个百分点；同比增长7.2%；中国建筑股份有限公司
annual_cscec_2025_report_field_2ebbd40f2d,新签合同额,,9,年报速览 > 连续入选,主要经营指标,0.58,"{""v1"": ""0.5%"", ""v2"": ""6.6%"", ""v3"": ""14,728"", ""v4"": ""5,432""}","新签合同额；营业收入；同比增长0.5%；同比下降6.6%；基础设施建设与投资业务；14,728 亿元；5,432 亿元"
annual_cscec_2025_report_field_48a2e6d98b,新签合同额,,9,年报速览 > 连续入选,主要经营指标,0.58,"{""v1"": ""4.1%"", ""v2"": ""1.4%"", ""v3"": ""3,948"", ""v4"": ""1,509""}","新签合同额；营业收入；同比增长4.1%；同比下降1.4%；房地产开发与投资业务；3,948 亿元；1,509 万m"
annual_cscec_2025_report_field_cab2bea14a,合约销售额,,9,年报速览 > 连续入选,主要经营指标,0.58,"{""v1"": ""2"", ""v2"": ""6.4%"", ""v3"": ""3.3%"", ""v4"": ""2,844"", ""v5"": ""928""}","合约销售额；合约销售面积；2；同比下降6.4%；同比增长3.3%；2,844 亿元；928 万m"
annual_cscec_2025_report_field_fd4ab8947d,营业收入,,9,年报速览 > 连续入选,主要经营指标,0.58,"{""v1"": ""2"", ""v2"": ""7.2%"", ""v3"": ""6,961""}","营业收入；新购置土地储备；2；同比下降7.2%；6,961 万m"
annual_cscec_2025_report_field_d89dd9ef9a,土地储备,,9,年报速览 > 连续入选,主要经营指标,0.58,"{""v1"": ""2"", ""v2"": ""128"", ""v3"": ""102""}",期末土地储备；2；勘察设计业务；128 亿元；102 亿元
annual_cscec_2025_report_field_fd011a236f,新签合同额,,9,年报速览 > 连续入选,主要经营指标,0.58,"{""v1"": ""10.0%"", ""v2"": ""6.0%"", ""v3"": ""2,550"", ""v4"": ""1,417""}","新签合同额；营业收入；同比下降10.0%；同比下降6.0%；国际化业务；2,550 亿元；1,417 亿元"
annual_cscec_2025_report_field_c25a051bde,新签合同额,,9,年报速览 > 连续入选,主要经营指标,0.58,"{""2025"": ""15.2%"", ""v1"": ""15.2%"", ""v2"": ""19.4%"", ""v3"": ""2025"", ""v4"": ""5""}",新签合同额；营业收入；同比增长15.2%；同比增长19.4%；2025 年年度报告；5
annual_cscec_2025_report_field_8790886235,资本公积金转增股本,,10,重要提示 > 十一、 其他,十一、 其他,0.63,"{""v1"": ""10"", ""v2"": ""2.718"", ""v3"": ""41,320,390,444"", ""v4"": ""112.31"", ""v5"": ""28.75%""}","董事会决议通过的本报告期利润分配预案和资本公积金转增股本预案；公司拟向全体普通股股东每10股派送现金红利人民币2.718元（含税）,以截至本报告披露日的总；股本41,320,390,444股为基数,以此计算合计拟派发现金红利总额约为112.31亿元（含税）。本年；度公司现金分红占合并报表归属于上市公司股东净利润的比例为28.75%。如在实施权益分派股权"
annual_cscec_2025_report_field_d4b2f60691,现金红利,,10,重要提示 > 十一、 其他,十一、 其他,0.63,"{""2025"": ""28.75%"", ""v1"": ""28.75%"", ""v2"": ""2025""}",度公司现金分红占合并报表归属于上市公司股东净利润的比例为28.75%。如在实施权益分派股权；提交公司2025年年度股东会审议批准。；适用 不适用；六、；前瞻性陈述的风险声明；适用 不适用
annual_cscec_2025_report_field_7d4bb55d2f,营业收入,千元,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,0.68,"{""v1"": ""2,082,141,811"", ""v2"": ""2,187,334,286"", ""v3"": ""2,187,147,839"", ""v4"": ""-4.8"", ""v5"": ""2,265,529,244""}","营业收入；2,082,141,811；2,187,334,286；2,187,147,839；-4.8；2,265,529,244"
annual_cscec_2025_report_field_e81ce5e5d0,利润总额,千元,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,0.68,"{""v1"": ""70,221,649"", ""v2"": ""80,046,319"", ""v3"": ""80,036,950"", ""v4"": ""-12.3"", ""v5"": ""92,995,473""}","利润总额；70,221,649；80,046,319；80,036,950；-12.3；92,995,473"
annual_cscec_2025_report_field_174eee9583,归属于上市公司股东的净利润,千元,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,0.68,"{""v1"": ""39,069,002"", ""v2"": ""46,193,694"", ""v3"": ""46,187,099"", ""v4"": ""-15.4"", ""v5"": ""54,264,173"", ""v6"": ""31,934,462"", ""v7"": ""41,579,271""}","归属于上市公司股东的净利润；39,069,002；46,193,694；46,187,099；-15.4；54,264,173；归属于上市公司股东的扣除非经常性；损益的净利润；31,934,462；41,579,271"
annual_cscec_2025_report_field_dfea2ea911,经营活动产生的现金流量净额,千元,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,0.68,"{""2024"": ""20,537,132"", ""2025"": ""15,825,793"", ""2023"": ""15,773,535"", ""v1"": ""20,537,132"", ""v2"": ""15,825,793"", ""v3"": ""15,773,535"", ""v4"": ""29.8"", ""v5"": ""11,030,123"", ""v6"": ""2024"", ""v7"": ""2025"", ""v8"": ""2023""}","经营活动产生的现金流量净额；20,537,132；15,825,793；15,773,535；29.8；11,030,123；2024年末；本期末比上年；2025年末；2023年末"
annual_cscec_2025_report_field_e03d0ec7d1,归属于上市公司股东的净资产,千元,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,0.68,"{""v1"": ""491,555,607"", ""v2"": ""462,498,099"", ""v3"": ""462,184,659"", ""v4"": ""6.3"", ""v5"": ""427,609,892""}","归属于上市公司股东的净资产；491,555,607；462,498,099；462,184,659；6.3；427,609,892"
annual_cscec_2025_report_field_47e75f3d73,总资产,千元,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,0.68,"{""v1"": ""3,560,679,818"", ""v2"": ""3,189,774,343"", ""v3"": ""3,189,262,063"", ""v4"": ""11.6"", ""v5"": ""2,903,322,519""}","总资产；3,560,679,818；3,189,774,343；3,189,262,063；11.6；2,903,322,519"
annual_cscec_2025_report_field_fca027b163,期末总股本,千元,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,0.68,"{""v1"": ""41,320,390"", ""v2"": ""41,610,322"", ""v3"": ""41,610,322"", ""v4"": ""-0.7"", ""v5"": ""41,919,514""}","期末总股本；41,320,390；41,610,322；41,610,322；-0.7；41,919,514"
annual_cscec_2025_report_field_9731a2e14b,基本每股收益,千元,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,0.68,"{""v1"": ""0.94"", ""v2"": ""1.11"", ""v3"": ""1.11"", ""v4"": ""-15.3"", ""v5"": ""1.31""}",基本每股收益（元／股）；0.94；1.11；1.11；-15.3；1.31
annual_cscec_2025_report_field_c6f2572e39,稀释每股收益,千元,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,0.68,"{""v1"": ""0.94"", ""v2"": ""1.11"", ""v3"": ""1.11"", ""v4"": ""-15.3"", ""v5"": ""1.31""}",稀释每股收益（元／股）；0.94；1.11；1.11；-15.3；1.31
annual_cscec_2025_report_field_d121551d10,基本每股收益,千元,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,0.68,"{""v1"": ""0.77"", ""v2"": ""1.00"", ""v3"": ""1.00"", ""v4"": ""-23.0"", ""v5"": ""1.17"", ""v6"": ""2.21""}",扣除非经常性损益后的基本每股收益；（元／股）；0.77；1.00；1.00；-23.0；1.17；减少2.21个
annual_cscec_2025_report_field_0e0f3625c3,加权平均净资产收益率,千元,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,0.68,"{""v1"": ""8.15"", ""v2"": ""10.36"", ""v3"": ""10.37"", ""v4"": ""13.36"", ""v5"": ""2.68""}",加权平均净资产收益率（%）；百分点；8.15；10.36；10.37；13.36；扣除非经常性损益后的加权平均净资产；减少2.68个；收益率（%）；百分点
annual_cscec_2025_report_field_ac696791db,现金红利,千元,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,0.68,"{""v1"": ""10"", ""v2"": ""2.718"", ""v3"": ""2.715"", ""v4"": ""2.715"", ""v5"": ""0.1"", ""v6"": ""2.7145""}",每10股派息金额（元）；2.718；2.715；2.715；0.1；2.7145；适用 不适用；中扣减。
annual_cscec_2025_report_field_f7da5c2dd9,归属于上市公司股东的净利润,千元,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,0.68,"{""2025"": ""2025"", ""v1"": ""2025"", ""v2"": ""9""}","② 按照相关会计准则规定,计算每股收益时,归属于上市公司股东的净利润将扣除优先股、永续债等；其他权益工具的股利或利息及限制性股票的影响。；2025 年年度报告；9"
annual_cscec_2025_report_field_97b4114263,现金红利,千元,14,第二节 公司简介和主要财务指标 > 十、 非经常性损益项目和金额,公司简介和主要财务指标,0.68,"{""v1"": ""68""}",④ 派息金额含税。；敬请参阅本报告第八节“财务报告”财务报表附注五、68“每股收益”、管理层补充资料二“净资产收益率和；每股收益”等相关内容。
annual_cscec_2025_report_field_9de6384649,营业收入,千元,14,第二节 公司简介和主要财务指标 > 十、 非经常性损益项目和金额,公司简介和主要财务指标,0.68,"{""v1"": ""555,342,204"", ""v2"": ""552,965,231"", ""v3"": ""449,912,446"", ""v4"": ""523,921,930""}","营业收入；555,342,204；552,965,231；449,912,446；523,921,930"
annual_cscec_2025_report_field_920c70db15,归属于上市公司股东的净利润,千元,14,第二节 公司简介和主要财务指标 > 十、 非经常性损益项目和金额,公司简介和主要财务指标,0.68,"{""v1"": ""15,013,469"", ""v2"": ""15,390,884"", ""v3"": ""7,778,049"", ""v4"": ""886,600"", ""v5"": ""14,850,075"", ""v6"": ""12,648,002"", ""v7"": ""7,702,482""}","归属于上市公司股东的净利润；15,013,469；15,390,884；7,778,049；886,600；归属于上市公司股东的扣除非经常性；损益后的净利润；14,850,075；12,648,002；7,702,482"
annual_cscec_2025_report_field_27ef716be1,经营活动产生的现金流量净额,千元,14,第二节 公司简介和主要财务指标 > 十、 非经常性损益项目和金额,公司简介和主要财务指标,0.68,"{""v1"": ""-95,852,099"", ""v2"": ""13,021,504"", ""v3"": ""13,351,612"", ""v4"": ""90,016,115""}","经营活动产生的现金流量净额；-95,852,099；13,021,504；13,351,612；90,016,115；季度数据与已披露定期报告数据差异说明；适用 不适用"
annual_cscec_2025_report_field_a751d50ec9,流动资产,千元,14,第二节 公司简介和主要财务指标 > 十、 非经常性损益项目和金额,公司简介和主要财务指标,0.68,"{""v1"": ""290,029"", ""v2"": ""561,274"", ""v3"": ""226,075""}","非流动资产处置损益,包括已计提资产减值准备的冲销；部分；290,029；/；561,274；226,075"
annual_cscec_2025_report_field_3c2d2e6d55,营业收入,千元,14,第二节 公司简介和主要财务指标 > 十、 非经常性损益项目和金额,公司简介和主要财务指标,0.68,"{""v1"": ""427,761"", ""v2"": ""533,043"", ""v3"": ""631,101""}","营业外收入/；其他收益；427,761；533,043；631,101；公司损益产生持续影响的政府补助除外；分步实现企业合并产生的收益；/；/"
annual_cscec_2025_report_field_46105f297f,营业收入,千元,15,第二节 公司简介和主要财务指标 > 十三、 其他,十三、 其他,0.68,"{""v1"": ""1,225,632"", ""v2"": ""-652,665"", ""v3"": ""-286,227"", ""v4"": ""-1,899,401"", ""v5"": ""-1,467,590"", ""v6"": ""-1,441,995""}","除上述各项之外的其他营业外收入和支出；1,225,632；-652,665；-286,227；所得税影响额；-1,899,401；/；-1,467,590；-1,441,995"
