unit_id,page,section_path,table_name,row_header,unit,unit_type,text
annual_cscec_2025_report_field_001374,6,董事长致辞,我谨代表,新签合同额,,financial_field,"险,企业保持稳健发展态势。全年新签合同额4.55万亿元,完成营业收入2.08万亿元,实现归属于上市；公司股东净利润390.7亿元,继续保持全球建筑行业最高信用评级。；期间累计实现合同额20.8万亿元、营业收入10.5万亿元、利润总额4,331亿元,同比“十三五”分别增长；57%、68%、20%。主责主业更加稳健,房建、基建利润占比同比提高了31个百分点,地产业务销售额；增长37%,海外营收增长28%、ENR国际承包商排名提升至第6位。转型升级加快推进,完成国企改革；三年行动和深化提升行动目标任务,推动8家企业战略性联动、6家企业战略性整合,获批建设4个国家；级科创平台,成功举办中国建筑科技展,城市更新、城市运营业务覆盖250多个城市。；2026年是“十五五”开局之年,建筑市场挑战和机遇并存。国家在城市更新、“好房子”建设、稳定"
annual_cscec_2025_report_field_001375,7,董事长致辞,我谨代表,营业收入,,financial_field,"合同额4.6万亿元,营业收入2.1万亿元,继续创造更多更好的发展业绩,不辜负广大股东、投资者和社；会各界的关心和支持！；郑学选；董事长；中国•北京；2026 年4月17日；2025 年年度报告；3"
annual_cscec_2025_report_field_001376,8,年报速览 > 连续入选,主要经营指标,新签合同额,,financial_field,"新签合同额；营业收入；归属上市公司股东净利润；45,458 亿元；20,821 亿元；390.7 亿元；同比增长1.0%；同比下降4.8%；同比下降15.4%"
annual_cscec_2025_report_field_001377,8,年报速览 > 连续入选,主要经营指标,经营活动产生的现金流量净额,,financial_field,经营活动产生的现金流量净额；加权平均净资产收益率；归属普通股股东的每股净资产；205.4 亿元；8.15%；11.68 元／股；连续6 年保持正向流入；减少2.21 个百分点；同比增长7.2%；中国建筑股份有限公司
annual_cscec_2025_report_field_001378,9,年报速览 > 连续入选,主要经营指标,新签合同额,,financial_field,"新签合同额；营业收入；同比增长0.5%；同比下降6.6%；基础设施建设与投资业务；14,728 亿元；5,432 亿元"
annual_cscec_2025_report_field_001379,9,年报速览 > 连续入选,主要经营指标,新签合同额,,financial_field,"新签合同额；营业收入；同比增长4.1%；同比下降1.4%；房地产开发与投资业务；3,948 亿元；1,509 万m"
annual_cscec_2025_report_field_001380,9,年报速览 > 连续入选,主要经营指标,合约销售额,,financial_field,"合约销售额；合约销售面积；2；同比下降6.4%；同比增长3.3%；2,844 亿元；928 万m"
annual_cscec_2025_report_field_001381,9,年报速览 > 连续入选,主要经营指标,营业收入,,financial_field,"营业收入；新购置土地储备；2；同比下降7.2%；6,961 万m"
annual_cscec_2025_report_field_001382,9,年报速览 > 连续入选,主要经营指标,土地储备,,financial_field,期末土地储备；2；勘察设计业务；128 亿元；102 亿元
annual_cscec_2025_report_field_001383,9,年报速览 > 连续入选,主要经营指标,新签合同额,,financial_field,"新签合同额；营业收入；同比下降10.0%；同比下降6.0%；国际化业务；2,550 亿元；1,417 亿元"
annual_cscec_2025_report_field_001384,9,年报速览 > 连续入选,主要经营指标,新签合同额,,financial_field,新签合同额；营业收入；同比增长15.2%；同比增长19.4%；2025 年年度报告；5
annual_cscec_2025_report_field_001385,10,重要提示 > 十一、 其他,十一、 其他,资本公积金转增股本,,financial_field,"董事会决议通过的本报告期利润分配预案和资本公积金转增股本预案；公司拟向全体普通股股东每10股派送现金红利人民币2.718元（含税）,以截至本报告披露日的总；股本41,320,390,444股为基数,以此计算合计拟派发现金红利总额约为112.31亿元（含税）。本年；度公司现金分红占合并报表归属于上市公司股东净利润的比例为28.75%。如在实施权益分派股权"
